Zone_export,Zone_import,Transport_international_mode,Unit,Transport_international_distance
TLS_EXP01,LVA_IMP01,Sea,[1000km],20.593
TLS_EXP01,MLT_IMP01,Sea,[1000km],13.246
TLS_EXP01,ROU_IMP01,Sea,[1000km],13.725
TLS_EXP01,SVN_IMP01,Sea,[1000km],13.719
TLS_EXP01,SWE_IMP01,Sea,[1000km],19.659
TLS_EXP01,NOR_IMP01,Sea,[1000km],19.697
TLS_EXP01,BEL_IMP01,Sea,[1000km],18.607
TLS_EXP01,CYP_IMP01,Sea,[1000km],12.423
TLS_EXP01,ESP_IMP01,Sea,[1000km],15.37
TLS_EXP01,FRA_IMP01,Sea,[1000km],13.838
TLS_EXP01,GBR_IMP01,Sea,[1000km],18.134
TLS_EXP01,GRC_IMP01,Sea,[1000km],12.656
TLS_EXP01,HRV_IMP01,Sea,[1000km],13.646
TLS_EXP01,ITA_IMP01,Sea,[1000km],13.516
TLS_EXP01,LTU_IMP01,Sea,[1000km],20.442
TLS_EXP01,NLD_IMP01,Sea,[1000km],18.537
TLS_EXP01,POL_IMP01,Sea,[1000km],20.18
TLS_EXP01,PRT_IMP01,Sea,[1000km],15.912
THA_EXP01,BGR_IMP01,Sea,[1000km],12.263
THA_EXP01,DNK_IMP01,Sea,[1000km],18.707
THA_EXP01,EST_IMP01,Sea,[1000km],19.566
THA_EXP01,FIN_IMP01,Sea,[1000km],19.608
THA_EXP01,DEU_IMP01,Sea,[1000km],18.076
THA_EXP01,IRL_IMP01,Sea,[1000km],17.125
THA_EXP01,LVA_IMP01,Sea,[1000km],19.362
THA_EXP01,MLT_IMP01,Sea,[1000km],12.098
THA_EXP01,ROU_IMP01,Sea,[1000km],12.578
THA_EXP01,SVN_IMP01,Sea,[1000km],12.572
THA_EXP01,SWE_IMP01,Sea,[1000km],18.495
THA_EXP01,NOR_IMP01,Sea,[1000km],18.496
THA_EXP01,BEL_IMP01,Sea,[1000km],17.575
THA_EXP01,CYP_IMP01,Sea,[1000km],11.275
THA_EXP01,ESP_IMP01,Sea,[1000km],14.281
THA_EXP01,FRA_IMP01,Sea,[1000km],12.69
THA_EXP01,GBR_IMP01,Sea,[1000km],17.102
THA_EXP01,GRC_IMP01,Sea,[1000km],11.509
THA_EXP01,HRV_IMP01,Sea,[1000km],12.498
THA_EXP01,ITA_IMP01,Sea,[1000km],12.368
THA_EXP01,LTU_IMP01,Sea,[1000km],19.301
