Country,Energy_type,Unit,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
GBR,PV,[MW],11227.657,12040.35049,13616,15087.31911,16558.63821,18029.95732,19501.27643,20972.59554,22443.91463,23915.23374,25386.55285,26857.87196,28329.19106,29800.51017,32192.94549,34585.38082,36977.81614,39370.25146,41762.68679,44155.12211,46547.55743,48939.99276,51332.42808,53724.8634,56578.99677,59433.13014,62287.26351,65141.39688,67995.53024,70849.66361,73703.79698,76557.93035,79412.06372,82266.19709
GRC,Onshore,[MW],3539.167759,3749.863421,4004.139012,4247.439185,4490.739359,4734.039532,4977.339706,5220.639879,5463.94005,5707.240224,5950.540397,6193.840571,6437.140744,6680.440918,6994.568234,7308.695549,7622.822865,7936.950181,8251.077497,8565.204813,8879.332129,9193.459445,9507.586761,9821.714077,10140.02976,10458.34544,10776.66112,11094.9768,11413.29248,11731.60816,12049.92384,12368.23952,12686.5552,13004.87088
GRC,PV,[MW],2278.350198,2443.264425,2763,3061.564534,3360.129066,3658.693601,3957.258135,4255.822669,4554.387201,4852.951736,5151.51627,5450.080804,5748.645336,6047.20987,6532.690099,7018.170329,7503.650558,7989.130787,8474.611016,8960.091245,9445.571474,9931.051703,10416.53193,10902.01216,11481.18156,12060.35095,12639.52035,13218.68974,13797.85914,14377.02854,14956.19793,15535.36733,16114.53673,16693.70612
HRV,Onshore,[MW],604.6618725,640.6589323,684.1015622,725.6690573,767.2365524,808.8040475,850.3715426,891.9390377,933.5065324,975.0740275,1016.641523,1058.209018,1099.776513,1141.344008,1195.012221,1248.680435,1302.348649,1356.016862,1409.685076,1463.353289,1517.021503,1570.689716,1624.35793,1678.026143,1732.409933,1786.793723,1841.177512,1895.561302,1949.945092,2004.328882,2058.712671,2113.096461,2167.480251,2221.864041
HRV,PV,[MW],56.89691047,61.01528965,69,76.456009,83.91201794,91.36802694,98.82403594,106.2800449,113.7360539,121.1920629,128.6480719,136.1040809,143.5600898,151.0160988,163.1399265,175.2637541,187.3875818,199.5114094,211.6352371,223.7590647,235.8828924,248.00672,260.1305477,272.2543754,286.717889,301.1814027,315.6449164,330.1084301,344.5719438,359.0354575,373.4989712,387.9624849,402.4259986,416.8895123
HUN,Onshore,[MW],328.2735249,347.816483,371.4016732,393.9688447,416.5360161,439.1031875,461.6703589,484.2375304,506.8047016,529.371873,551.9390445,574.5062159,597.0733873,619.6405588,648.7772622,677.9139655,707.0506689,736.1873723,765.3240757,794.4607791,823.5974825,852.7341859,881.8708893,911.0075927,940.5327854,970.0579782,999.583171,1029.108364,1058.633557,1088.158749,1117.683942,1147.209135,1176.734328,1206.25952
HUN,PV,[MW],1053.00514,1129.224998,1277,1414.990196,1552.98039,1690.970586,1828.960781,1966.950977,2104.941171,2242.931367,2380.921562,2518.911758,2656.901952,2794.892148,3019.270813,3243.649479,3468.028144,3692.406809,3916.785475,4141.16414,4365.542806,4589.921471,4814.300136,5038.678802,5306.358613,5574.038424,5841.718236,6109.398047,6377.077859,6644.75767,6912.437481,7180.117293,7447.797104,7715.476915
IRL,Onshore,[MW],4137.84288,4384.179195,4681.467291,4965.923401,5250.37951,5534.835619,5819.291728,6103.747837,6388.203944,6672.660053,6957.116162,7241.572272,7526.028381,7810.48449,8177.748651,8545.012812,8912.276973,9279.541134,9646.805295,10014.06946,10381.33362,10748.59778,11115.86194,11483.1261,11855.28712,12227.44813,12599.60915,12971.77017,13343.93118,13716.0922,14088.25321,14460.41423,14832.57525,15204.73626
IRL,PV,[MW],29.6853446,31.83406416,36,39.89009165,43.78018328,47.67027493,51.56036658,55.45045823,59.34054985,63.23064151,67.12073316,71.01082481,74.90091643,78.79100808,85.11648338,91.44195868,97.76743397,104.0929093,110.4183846,116.7438599,123.0693352,129.3948105,135.7202858,142.0457611,149.5919421,157.1381232,164.6843042,172.2304853,179.7766663,187.3228474,194.8690284,202.4152095,209.9613906,217.5075716
ITA,Onshore,[MW],10734.24493,11373.28184,12144.49605,12882.42198,13620.34791,14358.27383,15096.19976,15834.12569,16572.05161,17309.97754,18047.90347,18785.82939,19523.75532,20261.68125,21214.42488,22167.16851,23119.91215,24072.65578,25025.39941,25978.14304,26930.88668,27883.63031,28836.37394,29789.11757,30754.56445,31720.01134,32685.45822,33650.9051,34616.35198,35581.79886,36547.24574,37512.69262,38478.1395,39443.58638
ITA,PV,[MW],17233.99172,18481.44281,20900,23158.41432,25416.82862,27675.24294,29933.65726,32192.07158,34450.48589,36708.90021,38967.31453,41225.72885,43484.14315,45742.55747,49414.8473,53087.13712,56759.42695,60431.71677,64104.0066,67776.29642,71448.58625,75120.87607,78793.1659,82465.45572,86846.43306,91227.41039,95608.38773,99989.36506,104370.3424,108751.3197,113132.2971,117513.2744,121894.2517,126275.2291
LTU,Onshore,[MW],544.7943604,577.2273548,616.3687343,653.8206358,691.2725373,728.7244389,766.1763404,803.6282419,841.0801431,878.5320446,915.9839461,953.4358477,990.8877492,1028.339651,1076.69418,1125.048709,1173.403238,1221.757767,1270.112296,1318.466825,1366.821354,1415.175883,1463.530412,1511.884941,1560.884197,1609.883453,1658.882709,1707.881965,1756.881221,1805.880478,1854.879734,1903.87899,1952.878246,2001.877502
LTU,PV,[MW],84.93306926,91.08079469,103,114.1299844,125.2599688,136.3899533,147.5199377,158.6499222,169.7799065,180.909891,192.0398754,203.1698599,214.2998442,225.4298287,243.5277163,261.625604,279.7234917,297.8213793,315.919267,334.0171546,352.1150423,370.2129299,388.3108176,406.4087052,427.9991677,449.5896302,471.1800926,492.7705551,514.3610176,535.95148,557.5419425,579.132405,600.7228674,622.3133299
