Node_import,Zone_demand,Unit,Transport_eu_mode,Transport_eu_distance
POL_PIPE0003,GRC_DEM01,[1000km],Pip,1.194696223
POL_PIPE0003,FRA_DEM01,[1000km],Pip,1.603492526
POL_PIPE0003,CHE_DEM01,[1000km],Pip,1.188575416
POL_PIPE0002,DNK_DEM01,[1000km],Pip,0.95353346
POL_PIPE0002,HUN_DEM01,[1000km],Pip,0.725260836
POL_PIPE0002,ITA_DEM01,[1000km],Pip,1.435969146
POL_PIPE0002,POL_DEM01,[1000km],Pip,0.320530641
POL_PIPE0002,NLD_DEM01,[1000km],Pip,1.237787666
POL_PIPE0002,AUT_DEM01,[1000km],Pip,0.919016039
POL_PIPE0002,HRV_DEM01,[1000km],Pip,1.04010376
POL_PIPE0002,CZE_DEM01,[1000km],Pip,0.697717987
POL_PIPE0002,BGR_DEM01,[1000km],Pip,1.144699081
POL_PIPE0002,EST_DEM01,[1000km],Pip,0.637953006
POL_PIPE0002,FIN_DEM01,[1000km],Pip,1.286147383
POL_PIPE0002,LVA_DEM01,[1000km],Pip,0.432530561
POL_PIPE0002,SVK_DEM01,[1000km],Pip,0.570799145
POL_PIPE0002,SVN_DEM01,[1000km],Pip,1.007549081
POL_PIPE0002,NOR_DEM01,[1000km],Pip,1.390549598
POL_PIPE0002,SWE_DEM01,[1000km],Pip,1.166467211
POL_PIPE0001,ESP_DEM01,[1000km],Pip,4.17436244
POL_PIPE0002,PRT_DEM01,[1000km],Pip,2.874890356
POL_PIPE0002,IRL_DEM01,[1000km],Pip,2.128734436
POL_PIPE0002,GBR_DEM01,[1000km],Pip,1.768084947
POL_PIPE0001,LVA_DEM01,[1000km],Pip,0.509589382
POL_PIPE0001,LTU_DEM01,[1000km],Pip,0.331944871
POL_PIPE0001,ROU_DEM01,[1000km],Pip,0.735037161
POL_PIPE0001,ESP_DEM01,[1000km],Pip,2.436834462
POL_PIPE0002,CHE_DEM01,[1000km],Pip,1.316205007
POL_PIPE0002,BEL_DEM01,[1000km],Pip,1.347577357
POL_PIPE0002,DEU_DEM01,[1000km],Pip,0.948611834
POL_PIPE0002,LUX_DEM01,[1000km],Pip,1.287229445
POL_PIPE0002,MLT_DEM01,[1000km],Pip,2.042378311
POL_PIPE0002,CYP_DEM01,[1000km],Pip,2.127993264
POL_PIPE0002,GRC_DEM01,[1000km],Pip,1.552148059
POL_PIPE0002,FRA_DEM01,[1000km],Pip,1.687711842
POL_PIPE0001,CZE_DEM01,[1000km],Pip,0.633994173
POL_PIPE0001,DNK_DEM01,[1000km],Pip,0.955767733
POL_PIPE0001,HUN_DEM01,[1000km],Pip,0.644888518
POL_PIPE0001,ITA_DEM01,[1000km],Pip,1.358853324
POL_PIPE0001,LUX_DEM01,[1000km],Pip,1.242159039
POL_PIPE0001,NLD_DEM01,[1000km],Pip,1.208501501
POL_PIPE0001,AUT_DEM01,[1000km],Pip,0.847776739
POL_PIPE0001,HRV_DEM01,[1000km],Pip,0.960581016
POL_PIPE0001,SWE_DEM01,[1000km],Pip,1.224880898
POL_PIPE0001,BGR_DEM01,[1000km],Pip,1.077294623
