Year,Country,Country_demand,Node_border,Node_import,Node_export,Node_production,Source,Source_vres,Energy_type,Technology,Transport_national,Transport_international,Transport_eu,Transport_national_mode,Transport_international_mode,Transport_eu_mode,Transport_conversion
,ERI,,NLD_BORD0007,,USA_PORT0007,,,,,,,,,,,,
,SLV,,NLD_BORD0008,,USA_PORT0008,,,,,,,,,,,,
,ECU,,NLD_BORD0009,,USA_PORT0009,,,,,,,,,,,,
,DOM,,NLD_BORD0010,,USA_PORT0010,,,,,,,,,,,,
,DMA,,NOR_BORD0001,,USA_PORT0011,,,,,,,,,,,,
,DJI,,POL_BORD0001,,USA_PORT0012,,,,,,,,,,,,
,CIV,,POL_BORD0002,,USA_PORT0013,,,,,,,,,,,,
,CUB,,POL_BORD0003,,USA_PORT0014,,,,,,,,,,,,
,CRI,,POL_BORD0004,,USA_PORT0015,,,,,,,,,,,,
,COK,,POL_BORD0005,,USA_PORT0016,,,,,,,,,,,,
,COD,,POL_BORD0006,,USA_PORT0017,,,,,,,,,,,,
,COG,,POL_BORD0007,,USA_PORT0018,,,,,,,,,,,,
,COM,,POL_BORD0008,,USA_PORT0019,,,,,,,,,,,,
,COL,,PRT_BORD0001,,USA_PORT0020,,,,,,,,,,,,
,CHN,,PRT_BORD0002,,USA_PORT0021,,,,,,,,,,,,
,CHL,,PRT_BORD0003,,USA_PORT0022,,,,,,,,,,,,
,CYM,,ROU_BORD0001,,USA_PORT0023,,,,,,,,,,,,
,CMR,,ROU_BORD0002,,USA_PORT0024,,,,,,,,,,,,
,KHM,,ROU_BORD0003,,USA_PORT0025,,,,,,,,,,,,
,CPV,,ROU_BORD0004,,USA_PORT0026,,,,,,,,,,,,
,BRA,,ROU_BORD0005,,USA_PORT0027,,,,,,,,,,,,
,BMU,,SRB_BORD0001,,USA_PORT0028,,,,,,,,,,,,
,BEN,,SRB_BORD0002,,USA_PORT0029,,,,,,,,,,,,
,BLZ,,SVK_BORD0001,,USA_PORT0030,,,,,,,,,,,,
,BRB,,SVK_BORD0002,,USA_PORT0031,,,,,,,,,,,,
,BGD,,SVK_BORD0003,,USA_PORT0032,,,,,,,,,,,,
,BHR,,SVK_BORD0004,,USA_PORT0033,,,,,,,,,,,,
,BHS,,SVK_BORD0005,,USA_PORT0034,,,,,,,,,,,,
,ABW,,SVN_BORD0001,,USA_PORT0035,,,,,,,,,,,,
,ATG,,SVN_BORD0002,,USA_PORT0036,,,,,,,,,,,,
,AIA,,SVN_BORD0003,,USA_PORT0037,,,,,,,,,,,,
,ASM,,SVN_BORD0004,,USA_PORT0038,,,,,,,,,,,,
,ALB,,SWE_BORD0001,,USA_PORT0039,,,,,,,,,,,,
,,,SWE_BORD0002,,USA_PORT0040,,,,,,,,,,,,
,,,UKR_BORD0001,,USA_PORT0041,,,,,,,,,,,,
,,,,,USA_PORT0042,,,,,,,,,,,,
,,,,,USA_PORT0043,,,,,,,,,,,,
,,,,,USA_PORT0044,,,,,,,,,,,,
,,,,,USA_PORT0045,,,,,,,,,,,,
,,,,,USA_PORT0046,,,,,,,,,,,,
,,,,,USA_PORT0047,,,,,,,,,,,,
,,,,,USA_PORT0048,,,,,,,,,,,,
,,,,,ARE_PORT0001,,,,,,,,,,,,
,,,,,ARE_PORT0002,,,,,,,,,,,,
,,,,,ARE_PORT0003,,,,,,,,,,,,
,,,,,ARE_PORT0004,,,,,,,,,,,,
,,,,,ARE_PORT0005,,,,,,,,,,,,
,,,,,ARE_PORT0006,,,,,,,,,,,,
,,,,,ARE_PORT0007,,,,,,,,,,,,
,,,,,ARE_PORT0008,,,,,,,,,,,,
,,,,,UKR_PORT0001,,,,,,,,,,,,
,,,,,UKR_PORT0002,,,,,,,,,,,,
,,,,,UKR_PORT0003,,,,,,,,,,,,
,,,,,TUR_PORT0001,,,,,,,,,,,,
,,,,,TUR_PORT0002,,,,,,,,,,,,
,,,,,TUR_PORT0003,,,,,,,,,,,,
,,,,,TUR_PORT0004,,,,,,,,,,,,
,,,,,TUR_PORT0005,,,,,,,,,,,,
,,,,,TUR_PORT0006,,,,,,,,,,,,
,,,,,TUR_PORT0007,,,,,,,,,,,,
