Node_production,Node_export
IND_GXXXXX,IND_PORT0012
IND_GXXXXX,IND_PORT0013
IND_GXXXXX,IND_PORT0014
IND_GXXXXX,IND_PORT0015
IND_GXXXXX,IND_PORT0016
IND_GXXXXX,IND_PORT0017
IND_GXXXXX,IND_PORT0018
IND_GXXXXX,IND_PORT0019
IRN_GXXXXX,IRN_PORT0001
IRN_GXXXXX,IRN_PORT0002
IRN_GXXXXX,IRN_PORT0003
IRN_GXXXXX,IRN_PORT0004
IRQ_GXXXXX,IRQ_PORT0001
IRQ_GXXXXX,IRQ_PORT0002
IRQ_GXXXXX,IRQ_PORT0003
ITA_GXXXXX,ITA_PORT0001
ITA_GXXXXX,ITA_PORT0002
ITA_GXXXXX,ITA_PORT0003
ITA_GXXXXX,ITA_PORT0004
ITA_GXXXXX,ITA_PORT0005
ITA_GXXXXX,ITA_PORT0006
ITA_GXXXXX,ITA_PORT0007
ITA_GXXXXX,ITA_PORT0008
ITA_GXXXXX,ITA_PORT0009
ITA_GXXXXX,ITA_PORT0010
ITA_GXXXXX,ITA_PORT0011
ITA_GXXXXX,ITA_PORT0012
ITA_GXXXXX,ITA_PORT0013
ITA_GXXXXX,ITA_PORT0014
ITA_GXXXXX,ITA_PORT0015
ITA_GXXXXX,ITA_PORT0016
ITA_GXXXXX,ITA_PORT0017
ITA_GXXXXX,ITA_PORT0018
ITA_GXXXXX,ITA_PORT0019
ITA_GXXXXX,ITA_PORT0020
ITA_GXXXXX,ITA_PORT0021
ITA_GXXXXX,ITA_PORT0022
KWT_GXXXXX,KWT_PORT0001
KWT_GXXXXX,KWT_PORT0002
LBY_GXXXXX,LBY_PORT0001
LBY_GXXXXX,LBY_PORT0002
LBY_GXXXXX,LBY_PORT0003
LBY_GXXXXX,LBY_PORT0004
MEX_GXXXXX,MEX_PORT0001
MEX_GXXXXX,MEX_PORT0002
MEX_GXXXXX,MEX_PORT0003
MEX_GXXXXX,MEX_PORT0004
MEX_GXXXXX,MEX_PORT0005
MEX_GXXXXX,MEX_PORT0006
MEX_GXXXXX,MEX_PORT0007
MEX_GXXXXX,MEX_PORT0008
MEX_GXXXXX,MEX_PORT0009
MEX_GXXXXX,MEX_PORT0010
MEX_GXXXXX,MEX_PORT0011
MEX_GXXXXX,MEX_PORT0012
MEX_GXXXXX,MEX_PORT0013
MMR_GXXXXX,MMR_PORT0001
MMR_GXXXXX,MMR_PORT0002
MMR_GXXXXX,MMR_PORT0003
MMR_GXXXXX,MMR_PORT0004
MYS_GXXXXX,MYS_PORT0001
MYS_GXXXXX,MYS_PORT0002
MYS_GXXXXX,MYS_PORT0003
MYS_GXXXXX,MYS_PORT0004
MYS_GXXXXX,MYS_PORT0005
MYS_GXXXXX,MYS_PORT0006
MYS_GXXXXX,MYS_PORT0007
MYS_GXXXXX,MYS_PORT0008
MYS_GXXXXX,MYS_PORT0009
MYS_GXXXXX,MYS_PORT0010
MYS_GXXXXX,MYS_PORT0011
MYS_GXXXXX,MYS_PORT0012
NGA_GXXXXX,NGA_PORT0001
NGA_GXXXXX,NGA_PORT0002
NGA_GXXXXX,NGA_PORT0003
NGA_GXXXXX,NGA_PORT0004
NGA_GXXXXX,NGA_PORT0005
NGA_GXXXXX,NGA_PORT0006
NLD_GXXXXX,NLD_PORT0001
NLD_GXXXXX,NLD_PORT0002
NLD_GXXXXX,NLD_PORT0003
NLD_GXXXXX,NLD_PORT0004
NLD_GXXXXX,NLD_PORT0005
NLD_GXXXXX,NLD_PORT0006
NLD_GXXXXX,NLD_PORT0007
NOR_GXXXXX,NOR_PORT0001
NOR_GXXXXX,NOR_PORT0002
NOR_GXXXXX,NOR_PORT0003
NOR_GXXXXX,NOR_PORT0004
NOR_GXXXXX,NOR_PORT0005
NOR_GXXXXX,NOR_PORT0006
NOR_GXXXXX,NOR_PORT0007
NOR_GXXXXX,NOR_PORT0008
NOR_GXXXXX,NOR_PORT0009
NOR_GXXXXX,NOR_PORT0010
NOR_GXXXXX,NOR_PORT0011
NOR_GXXXXX,NOR_PORT0012
NOR_GXXXXX,NOR_PORT0013
NOR_GXXXXX,NOR_PORT0014
NOR_GXXXXX,NOR_PORT0015
NOR_GXXXXX,NOR_PORT0016
NOR_GXXXXX,NOR_PORT0017
NOR_GXXXXX,NOR_PORT0018
NOR_GXXXXX,NOR_PORT0019
NOR_GXXXXX,NOR_PORT0020
NOR_GXXXXX,NOR_PORT0021
NOR_GXXXXX,NOR_PORT0022
NOR_GXXXXX,NOR_PORT0023
NOR_GXXXXX,NOR_PORT0024
NOR_GXXXXX,NOR_PORT0025
NOR_GXXXXX,NOR_PORT0026
NOR_GXXXXX,NOR_PORT0027
NOR_GXXXXX,NOR_PORT0028
NOR_GXXXXX,NOR_PORT0029
NOR_GXXXXX,NOR_PORT0030
NOR_GXXXXX,NOR_PORT0031
NOR_GXXXXX,NOR_PORT0032
NOR_GXXXXX,NOR_PORT0033
NOR_GXXXXX,NOR_PORT0034
NOR_GXXXXX,NOR_PORT0035
NOR_GXXXXX,NOR_PORT0036
NOR_GXXXXX,NOR_PORT0037
NOR_GXXXXX,NOR_PORT0038
NOR_GXXXXX,NOR_PORT0039
OMN_GXXXXX,OMN_PORT0001
OMN_GXXXXX,OMN_PORT0002
PAK_GXXXXX,PAK_PORT0001
PAK_GXXXXX,PAK_PORT0002
PER_GXXXXX,PER_PORT0001
PER_GXXXXX,PER_PORT0002
PER_GXXXXX,PER_PORT0003
PER_GXXXXX,PER_PORT0004
PER_GXXXXX,PER_PORT0005
PER_GXXXXX,PER_PORT0006
POL_GXXXXX,POL_PORT0001
POL_GXXXXX,POL_PORT0002
POL_GXXXXX,POL_PORT0003
POL_GXXXXX,POL_PORT0004
QAT_GXXXXX,QAT_PORT0001
QAT_GXXXXX,QAT_PORT0002
ROU_GXXXXX,ROU_PORT0001
RUS_GXXXXX,RUS_PORT0001
RUS_GXXXXX,RUS_PORT0002
RUS_GXXXXX,RUS_PORT0003
RUS_GXXXXX,RUS_PORT0004
RUS_GXXXXX,RUS_PORT0005
RUS_GXXXXX,RUS_PORT0006
RUS_GXXXXX,RUS_PORT0007
RUS_GXXXXX,RUS_PORT0008
RUS_GXXXXX,RUS_PORT0009
RUS_GXXXXX,RUS_PORT0010
RUS_GXXXXX,RUS_PORT0011
RUS_GXXXXX,RUS_PORT0012
RUS_GXXXXX,RUS_PORT0013
SAU_GXXXXX,SAU_PORT0001
SAU_GXXXXX,SAU_PORT0002
SAU_GXXXXX,SAU_PORT0003
SAU_GXXXXX,SAU_PORT0004
SAU_GXXXXX,SAU_PORT0005
SYR_GXXXXX,SYR_PORT0001
SYR_GXXXXX,SYR_PORT0002
THA_GXXXXX,THA_PORT0001
THA_GXXXXX,THA_PORT0002
THA_GXXXXX,THA_PORT0003
THA_GXXXXX,THA_PORT0004
THA_GXXXXX,THA_PORT0005
TTO_GXXXXX,TTO_PORT0001
TTO_GXXXXX,TTO_PORT0002
UKR_GXXXXX,UKR_PORT0001
UKR_GXXXXX,UKR_PORT0002
UKR_GXXXXX,UKR_PORT0003
USA_GXXXXX,USA_PORT0001
USA_GXXXXX,USA_PORT0002
USA_GXXXXX,USA_PORT0003
USA_GXXXXX,USA_PORT0004
USA_GXXXXX,USA_PORT0005
USA_GXXXXX,USA_PORT0006
USA_GXXXXX,USA_PORT0007
USA_GXXXXX,USA_PORT0008
USA_GXXXXX,USA_PORT0009
USA_GXXXXX,USA_PORT0010
USA_GXXXXX,USA_PORT0011
USA_GXXXXX,USA_PORT0012
USA_GXXXXX,USA_PORT0013
USA_GXXXXX,USA_PORT0014
USA_GXXXXX,USA_PORT0015
USA_GXXXXX,USA_PORT0016
USA_GXXXXX,USA_PORT0017
USA_GXXXXX,USA_PORT0018
USA_GXXXXX,USA_PORT0019
USA_GXXXXX,USA_PORT0020
USA_GXXXXX,USA_PORT0021
USA_GXXXXX,USA_PORT0022
USA_GXXXXX,USA_PORT0023
USA_GXXXXX,USA_PORT0024
