Sensitivity,Country,Cell,System,Electrolyser,Year,PV,Onshore,Lcoh
Electrolyser_Capex_P10,FRA,FRA_FR21,PV,PEM,2020,3.067428313263147,0.0,16.352925700526825
Electrolyser_Capex_P10,FRA,FRA_FR21,PV,PEM,2025,3.030429952202399,0.0,14.460387439418176
Electrolyser_Capex_P10,FRA,FRA_FR21,PV,PEM,2030,2.976361392196281,0.0,12.916166266721937
Wacc_M10,FRA,FRA_FR21,PV,PEM,2020,3.0732047179481015,0.0,15.301785710993094
Wacc_M10,FRA,FRA_FR21,PV,PEM,2025,3.0389090817061515,0.0,13.52190164036076
Wacc_M10,FRA,FRA_FR21,PV,PEM,2030,2.976149267478587,0.0,12.069975913816657
Wacc_P10,FRA,FRA_FR21,PV,PEM,2020,3.020537222873827,0.0,16.296919228289518
Wacc_P10,FRA,FRA_FR21,PV,PEM,2025,2.9824907957373625,0.0,14.426473569009392
Wacc_P10,FRA,FRA_FR21,PV,PEM,2030,2.9155466052725516,0.0,12.901593242111959
Default,FRA,FRA_FR21,PV,Alkaline,2020,2.222289333433867,0.0,9.556182777137797
Default,FRA,FRA_FR21,PV,Alkaline,2025,2.212401171236828,0.0,8.4171788584579
Default,FRA,FRA_FR21,PV,Alkaline,2030,2.1882195103506605,0.0,7.487236842605844
Res_Capex_M10,FRA,FRA_FR21,PV,Alkaline,2020,2.261125333607197,0.0,9.153268487439558
Res_Capex_M10,FRA,FRA_FR21,PV,Alkaline,2025,2.2505546271440835,0.0,8.061426823627412
Res_Capex_M10,FRA,FRA_FR21,PV,Alkaline,2030,2.2217415483680796,0.0,7.162691089742306
Res_Capex_C10,FRA,FRA_FR21,PV,Alkaline,2020,2.2076316160967124,0.0,9.736655756503028
Res_Capex_C10,FRA,FRA_FR21,PV,Alkaline,2025,2.2018010532823173,0.0,8.576600579167673
Res_Capex_C10,FRA,FRA_FR21,PV,Alkaline,2030,2.1691711770739683,0.0,7.63259276126937
PV_Capex_M10,FRA,FRA_FR21,PV,Alkaline,2020,2.2625395120331984,0.0,9.144161785089933
PV_Capex_M10,FRA,FRA_FR21,PV,Alkaline,2025,2.2521390395218175,0.0,8.053387899103967
PV_Capex_M10,FRA,FRA_FR21,PV,Alkaline,2030,2.222088791321188,0.0,7.155365526320741
PV_Capex_C10,FRA,FRA_FR21,PV,Alkaline,2020,2.207554881604843,0.0,9.726194354362375
PV_Capex_C10,FRA,FRA_FR21,PV,Alkaline,2025,2.2022713929436706,0.0,8.56735196547208
PV_Capex_C10,FRA,FRA_FR21,PV,Alkaline,2030,2.169195061509896,0.0,7.624167399390079
