Country,Cell,System,Electrolyser,Year,PV,Onshore,Lcoh
CHE,CHE_CH07,PV,PEM,2020,2.6735933624998798,0.0,14.072362252736339
CHE,CHE_CH07,PV,Alkaline,2020,2.044579060311662,0.0,8.183915138573205
CHE,CHE_CH07,Onshore,PEM,2020,0.0,2.9468913930778227,23.013932298800047
CHE,CHE_CH07,Onshore,Alkaline,2020,0.0,1.979943998157978,15.7524870581547
CHE,CHE_CH07,Hybrid,PEM,2020,5.927926103906738,4.072073896093263,10.0
CHE,CHE_CH07,Hybrid,Alkaline,2020,8.552432044700451,4.780901288632881,10.0
BEL,BEL_BE10,PV,PEM,2020,2.993532932903511,0.0,16.23832973017705
BEL,BEL_BE10,PV,Alkaline,2020,2.1866001720337636,0.0,9.654670157271893
BEL,BEL_BE10,Onshore,PEM,2020,0.0,3.2497508428836537,13.086284815035471
BEL,BEL_BE10,Onshore,Alkaline,2020,0.0,2.243887776605511,9.203096006006945
BEL,BEL_BE10,Hybrid,PEM,2020,8.362468872758594,7.193086682796963,10.0
BEL,BEL_BE10,Hybrid,Alkaline,2020,1.5651967235011157,1.3777909522086336,8.263529478155577
BEL,BEL_BE21,PV,PEM,2020,2.9897772887488827,0.0,16.269015282877984
BEL,BEL_BE21,PV,Alkaline,2020,2.2028552276455,0.0,9.700024050572203
BEL,BEL_BE21,Onshore,PEM,2020,0.0,2.8996859371181927,11.628670070558154
BEL,BEL_BE21,Onshore,Alkaline,2020,0.0,2.0502845587250196,7.99808302550748
BEL,BEL_BE21,Hybrid,PEM,2020,7.126481583506062,8.429073972049492,10.0
BEL,BEL_BE21,Hybrid,Alkaline,2020,1.316872427983539,1.5527760033324376,7.582247307445379
BEL,BEL_BE22,PV,PEM,2020,2.9585379475364006,0.0,16.392886313503812
BEL,BEL_BE22,PV,Alkaline,2020,2.207565172876097,0.0,9.763508775211745
BEL,BEL_BE22,Onshore,PEM,2020,0.0,3.1774520874023438,12.74087823760142
BEL,BEL_BE22,Onshore,Alkaline,2020,0.0,2.187271762967033,8.900720499335259
BEL,BEL_BE22,Hybrid,PEM,2020,8.054375887427884,7.501179668127673,10.0
BEL,BEL_BE22,Hybrid,Alkaline,2020,1.5363511659807958,1.4810052708072161,8.126743432855395
BEL,BEL_BE23,PV,PEM,2020,2.958518174688753,0.0,16.14341946525677
BEL,BEL_BE23,PV,Alkaline,2020,2.2319885647607536,0.0,9.610898646413025
BEL,BEL_BE23,Onshore,PEM,2020,0.0,2.6902980263594243,10.820712756207396
BEL,BEL_BE23,Onshore,Alkaline,2020,0.0,1.9484765925606495,7.33553410265143
BEL,BEL_BE23,Hybrid,PEM,2020,1.396422032461651,2.2282947674714526,10.269092742082325
BEL,BEL_BE23,Hybrid,Alkaline,2020,1.124568344080991,1.590240476955974,7.115074047627092
BEL,BEL_BE24,PV,PEM,2020,3.0029568510907376,0.0,16.276980187612164
BEL,BEL_BE24,PV,Alkaline,2020,2.222383981252683,0.0,9.710446681814124
BEL,BEL_BE24,Onshore,PEM,2020,0.0,3.1152799561942617,12.416257510564757
BEL,BEL_BE24,Onshore,Alkaline,2020,0.0,2.1474669899872367,8.649278436508189
BEL,BEL_BE24,Hybrid,PEM,2020,7.747015213606009,7.808837357909865,10.0
BEL,BEL_BE24,Hybrid,Alkaline,2020,1.4986993170541683,1.4925482856087837,7.973312341692202
BEL,BEL_BE25,PV,PEM,2020,2.9070502798271916,0.0,15.85135678324695
BEL,BEL_BE25,PV,Alkaline,2020,2.183516672236879,0.0,9.397452662023687
BEL,BEL_BE25,Onshore,PEM,2020,0.0,2.7464009276738963,11.226672809209537
BEL,BEL_BE25,Onshore,Alkaline,2020,0.0,2.00592850567773,7.643866533841161
BEL,BEL_BE25,Hybrid,PEM,2020,1.4415707154176842,2.1905733960712035,10.492191090358679
BEL,BEL_BE25,Hybrid,Alkaline,2020,1.286294431830573,1.4862262544846765,7.2660217104555205
BEL,BEL_BE31,PV,PEM,2020,2.9672399027146215,0.0,16.29135543468192
BEL,BEL_BE31,PV,Alkaline,2020,2.207565172876097,0.0,9.702376858140216
BEL,BEL_BE31,Onshore,PEM,2020,0.0,2.9755671623696314,12.30434635415803
BEL,BEL_BE31,Onshore,Alkaline,2020,0.0,2.0597756587010507,8.49340273769974
BEL,BEL_BE31,Hybrid,PEM,2020,8.081476684658115,7.474375886857758,10.0
BEL,BEL_BE31,Hybrid,Alkaline,2020,1.4762906013126909,1.4905704392158037,7.855657940512598
BEL,BEL_BE32,PV,PEM,2020,2.976361392196281,0.0,16.19601621948695
BEL,BEL_BE32,PV,Alkaline,2020,2.2319885647607536,0.0,9.64108549739211
BEL,BEL_BE32,Onshore,PEM,2020,0.0,2.9742743264033322,12.01806227080865
BEL,BEL_BE32,Onshore,Alkaline,2020,0.0,2.1407902892678976,8.325302004544653
BEL,BEL_BE32,Hybrid,PEM,2020,7.524489956569983,8.031065598985574,10.0
BEL,BEL_BE32,Hybrid,Alkaline,2020,1.4493000010554375,1.5278692191212426,7.747410984196135
BEL,BEL_BE33,PV,PEM,2020,2.923724865246271,0.0,16.44746431851081
BEL,BEL_BE33,PV,Alkaline,2020,2.183485182201783,0.0,9.768839903504396
BEL,BEL_BE33,Onshore,PEM,2020,0.0,3.2091998414691645,13.212264077813515
BEL,BEL_BE33,Onshore,Alkaline,2020,0.0,2.2629983687926627,9.2832004018073
BEL,BEL_BE33,Hybrid,PEM,2020,8.763618229627015,6.79193732592854,10.0
BEL,BEL_BE33,Hybrid,Alkaline,2020,1.577869936241529,1.4694708364113327,8.348011443695384
BEL,BEL_BE34,PV,PEM,2020,2.9585379475364006,0.0,16.52183514577022
BEL,BEL_BE34,PV,Alkaline,2020,2.197491740696087,0.0,9.819038018362178
BEL,BEL_BE34,Onshore,PEM,2020,0.0,3.636505223757881,16.535599507798775
BEL,BEL_BE34,Onshore,Alkaline,2020,0.0,2.533787554129958,11.91478758369176
BEL,BEL_BE34,Hybrid,PEM,2020,5.998137658891652,7.33519567444168,10.0
BEL,BEL_BE34,Hybrid,Alkaline,2020,1.8941178145366826,1.1217802164304223,9.56990498735322
BEL,BEL_BE35,PV,PEM,2020,2.9761293976872563,0.0,16.42121835578634
BEL,BEL_BE35,PV,Alkaline,2020,2.2010153095171248,0.0,9.756952518727525
BEL,BEL_BE35,Onshore,PEM,2020,0.0,2.981707173805236,12.414205630895093
BEL,BEL_BE35,Onshore,Alkaline,2020,0.0,2.1139602738094383,8.593305457967654
BEL,BEL_BE35,Hybrid,PEM,2020,8.101766088915895,7.453789466639662,10.0
BEL,BEL_BE35,Hybrid,Alkaline,2020,1.4785460662613537,1.530594572600877,7.935297990748216
NLD,NLD_NL11,PV,PEM,2020,3.034631498157978,0.0,16.554645336817728
NLD,NLD_NL11,PV,Alkaline,2020,2.212480031380832,0.0,9.853926078078565
NLD,NLD_NL11,Onshore,PEM,2020,0.0,2.347596068116493,10.496454048790133
NLD,NLD_NL11,Onshore,Alkaline,2020,0.0,1.7606442010314283,6.9135083996045745
NLD,NLD_NL11,Hybrid,PEM,2020,7.4159129116118585,8.139642643943697,10.0
NLD,NLD_NL11,Hybrid,Alkaline,2020,0.8516716775342715,1.594825570201301,6.8195392533058845
NLD,NLD_NL12,PV,PEM,2020,2.9490821432119674,0.0,16.28130096420298
NLD,NLD_NL12,PV,Alkaline,2020,2.1552409645541712,0.0,9.640352320299298
NLD,NLD_NL12,Onshore,PEM,2020,0.0,2.761724781661222,12.148093928814026
NLD,NLD_NL12,Onshore,Alkaline,2020,0.0,2.0915109445584945,8.30961897080349
NLD,NLD_NL12,Hybrid,PEM,2020,8.707843546439587,6.847712009115968,10.0
NLD,NLD_NL12,Hybrid,Alkaline,2020,1.404528343821738,1.5178018573451795,7.7330104794973575
NLD,NLD_NL13,PV,PEM,2020,3.076979508388983,0.0,16.64319012562985
NLD,NLD_NL13,PV,Alkaline,2020,2.2715141068293576,0.0,9.952435780772047
NLD,NLD_NL13,Onshore,PEM,2020,0.0,3.4670434767602396,14.149568545417688
NLD,NLD_NL13,Onshore,Alkaline,2020,0.0,2.581467594839647,10.17360593601689
NLD,NLD_NL13,Hybrid,PEM,2020,9.94131628849267,5.555555555555555,10.0
NLD,NLD_NL13,Hybrid,Alkaline,2020,1.7326044674258763,1.3148842262996907,8.979022899069632
NLD,NLD_NL21,PV,PEM,2020,3.0213554694305156,0.0,16.521810808254543
NLD,NLD_NL21,PV,Alkaline,2020,2.2811638187414474,0.0,9.887522373773656
NLD,NLD_NL21,Onshore,PEM,2020,0.0,3.655085729208575,14.683318061483424
NLD,NLD_NL21,Onshore,Alkaline,2020,0.0,2.7100753942048126,10.669137347041199
NLD,NLD_NL21,Hybrid,PEM,2020,9.461646160757592,5.801568093428606,10.0
NLD,NLD_NL21,Hybrid,Alkaline,2020,1.784559511302766,1.2890484650301157,9.194086590434317
NLD,NLD_NL22,PV,PEM,2020,3.0304751890371406,0.0,16.510512689439228
NLD,NLD_NL22,PV,Alkaline,2020,2.267581829252495,0.0,9.87024172562779
NLD,NLD_NL22,Onshore,PEM,2020,0.0,3.674762199593725,14.769150485014634
NLD,NLD_NL22,Onshore,Alkaline,2020,0.0,2.625831055593153,10.717687354751762
NLD,NLD_NL22,Hybrid,PEM,2020,9.632314825942485,5.555555555555555,10.0
NLD,NLD_NL22,Hybrid,Alkaline,2020,1.7937934010456522,1.2855947843274755,9.178596095155282
NLD,NLD_NL23,PV,PEM,2020,3.003016459143545,0.0,16.43838351215122
NLD,NLD_NL23,PV,Alkaline,2020,2.2173089377192494,0.0,9.793678827717272
NLD,NLD_NL23,Onshore,PEM,2020,0.0,3.1134110622698445,12.618976863293472
NLD,NLD_NL23,Onshore,Alkaline,2020,0.0,2.3496804130263627,8.870342657155579
NLD,NLD_NL23,Hybrid,PEM,2020,8.121748098695456,7.433807456860102,10.0
NLD,NLD_NL23,Hybrid,Alkaline,2020,1.4944312354115068,1.5424898678375567,8.207439215815139
NLD,NLD_NL31,PV,PEM,2020,3.028685475772477,0.0,16.46673685211385
NLD,NLD_NL31,PV,Alkaline,2020,2.237199354068177,0.0,9.83073717550051
NLD,NLD_NL31,Onshore,PEM,2020,0.0,3.524160396552425,14.401315208682291
NLD,NLD_NL31,Onshore,Alkaline,2020,0.0,2.5988388219391876,10.380537037889606
NLD,NLD_NL31,Hybrid,PEM,2020,9.66677919182036,5.555555555555555,10.0
NLD,NLD_NL31,Hybrid,Alkaline,2020,1.726260972257762,1.2890577467788755,9.003551462728215
NLD,NLD_NL32,PV,PEM,2020,3.0028920339076564,0.0,16.293533092552398
NLD,NLD_NL32,PV,Alkaline,2020,2.2124144914030186,0.0,9.704058196161265
NLD,NLD_NL32,Onshore,PEM,2020,0.0,2.400500988293146,10.711439972841765
NLD,NLD_NL32,Onshore,Alkaline,2020,0.0,1.810360585438786,7.099389140415057
NLD,NLD_NL32,Hybrid,PEM,2020,7.575358692535092,7.980493878980781,10.0
NLD,NLD_NL32,Hybrid,Alkaline,2020,1.0575523278532644,1.5744867388185346,6.925705837272371
NLD,NLD_NL33,PV,PEM,2020,2.9499561869714865,0.0,16.11982845122312
NLD,NLD_NL33,PV,Alkaline,2020,2.1821096863780465,0.0,9.566328565043191
NLD,NLD_NL33,Onshore,PEM,2020,0.0,2.692704167105272,11.62127119926716
NLD,NLD_NL33,Onshore,Alkaline,2020,0.0,1.9478388577073218,7.874480907689708
NLD,NLD_NL33,Hybrid,PEM,2020,8.024422161392685,7.531133394162872,10.0
NLD,NLD_NL33,Hybrid,Alkaline,2020,1.316872427983539,1.4938199214457253,7.440112837825257
NLD,NLD_NL34,PV,PEM,2020,2.9238778844205626,0.0,15.92072261557923
NLD,NLD_NL34,PV,Alkaline,2020,2.1693834098081224,0.0,9.42143491269615
NLD,NLD_NL34,Onshore,PEM,2020,0.0,2.8202635351488805,11.679752754669035
NLD,NLD_NL34,Onshore,Alkaline,2020,0.0,2.0238378408941404,7.9936459115751
NLD,NLD_NL34,Hybrid,PEM,2020,7.5932142210426035,7.962341334512951,10.0
NLD,NLD_NL34,Hybrid,Alkaline,2020,1.316872427983539,1.481129994306178,7.495562749021135
NLD,NLD_NL41,PV,PEM,2020,3.0030801908241838,0.0,16.366760893086038
NLD,NLD_NL41,PV,Alkaline,2020,2.2272333383079967,0.0,9.765476339263039
NLD,NLD_NL41,Onshore,PEM,2020,0.0,3.3003224999630256,13.61139689192171
NLD,NLD_NL41,Onshore,Alkaline,2020,0.0,2.367564108914274,9.639337339067596
NLD,NLD_NL41,Hybrid,PEM,2020,9.269416644126805,6.286435927389069,10.0
NLD,NLD_NL41,Hybrid,Alkaline,2020,1.6163959554942355,1.406289691612051,8.574109193175165
NLD,NLD_NL42,PV,PEM,2020,3.0030801908241838,0.0,16.372962659811055
NLD,NLD_NL42,PV,Alkaline,2020,2.2075971949327124,0.0,9.75437160229478
NLD,NLD_NL42,Onshore,PEM,2020,0.0,4.004946879780853,16.545429101860982
NLD,NLD_NL42,Onshore,Alkaline,2020,0.0,2.7040383673759747,12.128367622092465
NLD,NLD_NL42,Hybrid,PEM,2020,7.671918714478244,6.40215535959583,10.0
NLD,NLD_NL42,Hybrid,Alkaline,2020,1.9562242615413146,1.0252049077008591,9.608592598767633
ESP,ESP_ES11,PV,PEM,2020,2.6882656388469233,0.0,14.517199409951594
ESP,ESP_ES11,PV,Alkaline,2020,2.0325565456536094,0.0,8.455322824074937
ESP,ESP_ES11,Onshore,PEM,2020,0.0,4.276812171384201,15.98698254252854
ESP,ESP_ES11,Onshore,Alkaline,2020,0.0,2.8413078677002,11.861990859749708
ESP,ESP_ES11,Hybrid,PEM,2020,8.928048924300922,5.555555555555555,10.0
ESP,ESP_ES11,Hybrid,Alkaline,2020,2.0227268878389135,0.0,8.45539460251267
ESP,ESP_ES12,PV,PEM,2020,2.693762431343316,0.0,14.290615727818594
ESP,ESP_ES12,PV,Alkaline,2020,2.0122707753075315,0.0,8.313323615646324
