Sensitivity,Country,Cell,System,Electrolyser,Year,Optimization,PV,Onshore,Lcoh,H2_volume,Unit,H2_volume_total,Change_volume,Change_lcoh
Default,FRA,FRA_FR10,Hybrid,PEM,2030,Profit,1.371163684470591,1.7733083198065962,10.878048269089721,77840.9424272092,194.51504445142385,15141234.376369322,0.0,0.0
Default,FRA,FRA_FR10,Hybrid,Alkaline,2020,Lcoh,1.735587339124681,1.355712224210624,8.778496877078057,73543.2827268006,198.35270517026242,14587509.075962331,0.09159754892633809,0.05047434773202286
Default,FRA,FRA_FR10,Hybrid,Alkaline,2020,Volume,0.0,1.0456350173717621,12.352360568342883,31398.386136267363,579.9513742751752,18209537.189750865,-0.1255302654685948,-0.25345558608047636
Default,FRA,FRA_FR10,Hybrid,Alkaline,2020,Profit,0.9458210609381612,1.5408093249133432,9.221585781016172,64808.516568924075,245.70365123735385,15923689.15226119,0.0,0.0
Default,FRA,FRA_FR10,Hybrid,Alkaline,2025,Lcoh,1.8043765246787689,1.1486601755615222,8.002499514413989,71704.44904945912,207.844004094734,14903339.801846426,0.11105389560836798,0.06614668010685643
Default,FRA,FRA_FR10,Hybrid,Alkaline,2025,Volume,0.0,1.0456350173717621,11.348769806332461,32493.6786759046,579.9513742751752,18844753.60334683,-0.12132500679255676,-0.24821470208263863
Default,FRA,FRA_FR10,Hybrid,Alkaline,2025,Profit,0.9070934782954349,1.4924795921958327,8.531838289849205,65035.417995087824,254.606093954334,16558413.744416716,0.0,0.0
Default,FRA,FRA_FR10,Hybrid,Alkaline,2030,Lcoh,1.8706311764086403,0.9355000710815259,7.307498913787942,69083.52171414446,218.96657550564305,15126982.173615944,0.1461434102836281,0.0945786026605655
Default,FRA,FRA_FR10,Hybrid,Alkaline,2030,Volume,0.0,1.0456350173717621,10.38691519379707,33588.971215541824,579.9513742751752,19479970.016942784,-0.10997342805516142,-0.22993190944946917
Default,FRA,FRA_FR10,Hybrid,Alkaline,2030,Profit,0.781883400910708,1.4695281895281949,7.998631949997606,63930.33773880498,271.1966110143674,17337690.935767826,0.0,0.0
Default,FRA,FRA_FR21,PV,PEM,2020,Lcoh,3.0494232198777307,0.0,16.02934967981885,48896.39668474597,432.3366150619744,21139702.631410617,0.09549315416348647,0.009710420637166983
Default,FRA,FRA_FR21,PV,PEM,2020,Volume,1.360483575265595,0.0,21.446294644271973,27840.72689305886,969.0505175822867,26979070.80558578,-0.14161611863343238,-0.24532411420203382
