Sensitivity,Country,Cell,System,Electrolyser,Year,PV,Onshore,Lcoh,H2_volume
Wacc_P10,FRA,FRA_FR10,PV,Alkaline,2025,2.178630850364307,0.0,8.573252882618348,44349.46067079103
Wacc_P10,FRA,FRA_FR10,PV,Alkaline,2030,2.1504287631757903,0.0,7.62443078058515,45485.38273925982
Default,FRA,FRA_FR10,Onshore,PEM,2020,0.0,3.4448921263358,14.437601669738207,81651.11932305545
Default,FRA,FRA_FR10,Onshore,PEM,2025,0.0,3.3224522525493296,13.477942960749603,81090.01471945674
Default,FRA,FRA_FR10,Onshore,PEM,2030,0.0,3.2052029877923034,12.578081195953501,80472.123956834
Res_Capex_M10,FRA,FRA_FR10,Onshore,PEM,2020,0.0,3.5275050341442693,13.89341566223989,82852.44237856181
Res_Capex_M10,FRA,FRA_FR10,Onshore,PEM,2025,0.0,3.382982827662622,12.97460869726774,82022.97633523027
Res_Capex_M10,FRA,FRA_FR10,Onshore,PEM,2030,0.0,3.2724168335796393,12.10622835793483,81567.44706691582
Res_Capex_C10,FRA,FRA_FR10,Onshore,PEM,2020,0.0,3.408340685569439,14.680938070752806,81110.25961817754
Res_Capex_C10,FRA,FRA_FR10,Onshore,PEM,2025,0.0,3.295083752907733,13.703401782291888,80661.33290246267
Res_Capex_C10,FRA,FRA_FR10,Onshore,PEM,2030,0.0,3.170712366838309,12.789196490432289,79902.26962317008
PV_Capex_M10,FRA,FRA_FR10,Onshore,PEM,2020,0.0,3.4471675824269523,14.42405325187342,81684.61363335898
PV_Capex_M10,FRA,FRA_FR10,Onshore,PEM,2025,0.0,3.3234870055457577,13.465396744282584,81106.14938575646
PV_Capex_M10,FRA,FRA_FR10,Onshore,PEM,2030,0.0,3.2066140067763627,12.566326297788201,80495.34722919106
PV_Capex_C10,FRA,FRA_FR10,Onshore,PEM,2020,0.0,3.4471675824269523,14.42405325187342,81684.61363335898
PV_Capex_C10,FRA,FRA_FR10,Onshore,PEM,2025,0.0,3.3234870055457577,13.465396744282584,81106.14938575646
PV_Capex_C10,FRA,FRA_FR10,Onshore,PEM,2030,0.0,3.2066140067763627,12.566326297788201,80495.34722919106
Onshore_Capex_M10,FRA,FRA_FR10,Onshore,PEM,2020,0.0,3.527743609116527,13.881113200169066,82855.8708178564
Onshore_Capex_M10,FRA,FRA_FR10,Onshore,PEM,2025,0.0,3.3842689126741345,12.96324243265773,82042.59027842383
Onshore_Capex_M10,FRA,FRA_FR10,Onshore,PEM,2030,0.0,3.2743101748195667,12.095572285165767,81597.97311717572
Onshore_Capex_P10,FRA,FRA_FR10,Onshore,PEM,2020,0.0,3.410243443878399,14.666838578306159,81138.54548502735
Onshore_Capex_P10,FRA,FRA_FR10,Onshore,PEM,2025,0.0,3.298894651085078,13.69032718169472,80721.30398843893
Onshore_Capex_P10,FRA,FRA_FR10,Onshore,PEM,2030,0.0,3.171745958076947,12.776959047939505,79919.42642613724
Electrolyser_Capex_M10,FRA,FRA_FR10,Onshore,PEM,2020,0.0,3.348268145612885,13.942757886018345,80207.09022618523
Electrolyser_Capex_M10,FRA,FRA_FR10,Onshore,PEM,2025,0.0,3.237263050043573,13.0423640466347,79741.39134648848
Electrolyser_Capex_M10,FRA,FRA_FR10,Onshore,PEM,2030,0.0,3.098261207342148,12.192955418341437,78685.40592620653
Electrolyser_Capex_P10,FRA,FRA_FR10,Onshore,PEM,2020,0.0,3.501108074124204,14.618165966275559,82471.60848149277
Electrolyser_Capex_P10,FRA,FRA_FR10,Onshore,PEM,2025,0.0,3.358136545671638,13.635479377528833,81642.48217397695
Electrolyser_Capex_P10,FRA,FRA_FR10,Onshore,PEM,2030,0.0,3.253541935700923,12.71488102643158,81262.23503207257
Wacc_M10,FRA,FRA_FR10,Onshore,PEM,2020,0.0,3.501108074124204,13.70792688807365,82471.60848149277
Wacc_M10,FRA,FRA_FR10,Onshore,PEM,2025,0.0,3.3609444926306153,12.759083148790612,81685.62118968923
Wacc_M10,FRA,FRA_FR10,Onshore,PEM,2030,0.0,3.25523653843125,11.872729902889926,81289.73988207169
Wacc_P10,FRA,FRA_FR10,Onshore,PEM,2020,0.0,3.4236822902676067,14.714512784354282,81337.86519849293
Wacc_P10,FRA,FRA_FR10,Onshore,PEM,2025,0.0,3.3047076220437432,13.755114339022171,80812.62901743868
Wacc_P10,FRA,FRA_FR10,Onshore,PEM,2030,0.0,3.1813835139837465,12.853098972828025,80079.18921060758
Default,FRA,FRA_FR10,Onshore,Alkaline,2020,0.0,2.3978259314692,10.306079213961718,65517.649648356004
Default,FRA,FRA_FR10,Onshore,Alkaline,2025,0.0,2.326656601158956,9.627669395303078,66265.90838665055
Default,FRA,FRA_FR10,Onshore,Alkaline,2030,0.0,2.2388191353982645,8.961597856568584,66496.04616363999
Res_Capex_M10,FRA,FRA_FR10,Onshore,Alkaline,2020,0.0,2.476533579428893,9.834063798671284,67129.31424964851
Res_Capex_M10,FRA,FRA_FR10,Onshore,Alkaline,2025,0.0,2.3754982720874125,9.196590516217578,67324.7234092714
Res_Capex_M10,FRA,FRA_FR10,Onshore,Alkaline,2030,0.0,2.2804522807259264,8.563382092484987,67451.47591105496
Res_Capex_C10,FRA,FRA_FR10,Onshore,Alkaline,2020,0.0,2.3793195398916365,10.517375125346529,65134.78080341594
Res_Capex_C10,FRA,FRA_FR10,Onshore,Alkaline,2025,0.0,2.3015377783085826,9.82093377724826,65715.89733771559
Res_Capex_C10,FRA,FRA_FR10,Onshore,Alkaline,2030,0.0,2.2192466097827177,9.140263953617115,66042.56144042162
PV_Capex_M10,FRA,FRA_FR10,Onshore,Alkaline,2020,0.0,2.4003126399949197,10.294328016833523,65568.91936797457
PV_Capex_M10,FRA,FRA_FR10,Onshore,Alkaline,2025,0.0,2.3279734890547843,9.616918145279808,66294.65221626684
