route name,olon,olat,dlon,dlat
DEU-DEHAM_NZL-NZMAP,9.99302,53.55073,174.5,-35.83333333
DEU-DEHAM_NOR-NOTAE,9.99302,53.55073,5.583333333,58.91666667
DEU-DEHAM_NOR-NOTOS,9.99302,53.55073,18.96666667,69.66666667
DEU-DEHAM_NOR-NOTRD,9.99302,53.55073,10.4,63.43333333
DEU-DEHAM_NRU-NRINU,9.99302,53.55073,166.9166667,-0.55
DEU-DEHAM_NOR-NOSKN,9.99302,53.55073,14.9,68.56666667
DEU-DEHAM_NOR-NOSUN,9.99302,53.55073,8.55,62.66666667
DEU-DEHAM_NOR-NOSVE,9.99302,53.55073,5.283333333,61.76666667
DEU-DEHAM_NOR-NOSVJ,9.99302,53.55073,14.55,68.21666667
DEU-DEHAM_PHL-PHTGO,9.99302,53.55073,124.75,8.533333333
DEU-DEHAM_PRI-PRSJU,9.99302,53.55073,-66.08333333,18.45
DEU-DEHAM_PNG-PGMAG,9.99302,53.55073,145.7833333,-5.216666667
DEU-DEHAM_PNG-PGMTK,9.99302,53.55073,147.1,-9.433333333
DEU-DEHAM_PHL-PHBTG,9.99302,53.55073,121.05,13.75
DEU-DEHAM_PHL-PHGES,9.99302,53.55073,125.15,6.116666667
DEU-DEHAM_PAN-PAPTY,9.99302,53.55073,-79.53333333,8.966666667
DEU-DEHAM_PAN-PAROD,9.99302,53.55073,-79.56666667,8.95
DEU-DEHAM_PYF-PFBOB,9.99302,53.55073,-151.75,-16.45
DEU-DEHAM_PYF-PFPPT,9.99302,53.55073,-149.6166667,-17.55
DEU-DEHAM_NZL-NZTIU,9.99302,53.55073,171.25,-44.38333333
DEU-DEHAM_NZL-NZWLG,9.99302,53.55073,174.7833333,-41.26666667
DEU-DEHAM_PAN-PAONX,9.99302,53.55073,-79.86666667,9.35
DEU-DEHAM_PAN-PACTB,9.99302,53.55073,-79.9,9.35
DEU-DEHAM_NOR-NOGLO,9.99302,53.55073,13.93333333,66.8
DEU-DEHAM_NOR-NOHFT,9.99302,53.55073,23.66666667,70.65
DEU-DEHAM_NOR-NOHRD,9.99302,53.55073,16.53333333,68.78333333
DEU-DEHAM_NOR-NOHAU,9.99302,53.55073,5.25,59.4
DEU-DEHAM_NOR-NOEGE,9.99302,53.55073,6,58.45
DEU-DEHAM_NOR-NOFRO,9.99302,53.55073,5.016666667,61.6
DEU-DEHAM_NOR-NOFRK,9.99302,53.55073,10.91666667,59.2
DEU-DEHAM_NOR-NOFUS,9.99302,53.55073,5.616666667,60.2
DEU-DEHAM_NOR-NOBGO,9.99302,53.55073,5.316666667,60.38333333
DEU-DEHAM_NOR-NOBOO,9.99302,53.55073,14.36666667,67.28333333
DEU-DEHAM_NOR-NOBVK,9.99302,53.55073,9.7,59.05
DEU-DEHAM_NOR-NODRM,9.99302,53.55073,10.23333333,59.73333333
DEU-DEHAM_NOR-NOAES,9.99302,53.55073,6.15,62.46666667
DEU-DEHAM_NOR-NOARD,9.99302,53.55073,7.7,61.23333333
DEU-DEHAM_NOR-NOAVE,9.99302,53.55073,7.666666667,63.05
DEU-DEHAM_NOR-NOORK,9.99302,53.55073,9.833333333,63.31666667
DEU-DEHAM_NOR-NOOSL,9.99302,53.55073,10.73333333,59.9
DEU-DEHAM_NOR-NOSAT,9.99302,53.55073,15.58333333,67.36666667
DEU-DEHAM_NOR-NOSVG,9.99302,53.55073,5.75,58.96666667
DEU-DEHAM_NOR-NOMOL,9.99302,53.55073,7.15,62.73333333
DEU-DEHAM_NOR-NOMJF,9.99302,53.55073,13.2,65.83333333
DEU-DEHAM_NOR-NOMSS,9.99302,53.55073,10.65,59.41666667
DEU-DEHAM_NOR-NOODD,9.99302,53.55073,6.533333333,60.06666667
DEU-DEHAM_NOR-NOIKR,9.99302,53.55073,6.55,62.38333333
DEU-DEHAM_NOR-NOKRS,9.99302,53.55073,7.983333333,58.13333333
DEU-DEHAM_NOR-NOLAR,9.99302,53.55073,10.01666667,59.03333333
DEU-DEHAM_NOR-NOMAY,9.99302,53.55073,5.1,61.93333333
DEU-DEHAM_NOR-NOHVI,9.99302,53.55073,5.316666667,59.3
DEU-DEHAM_NOR-NOHLA,9.99302,53.55073,9.183333333,59.6
DEU-DEHAM_NOR-NOHYR,9.99302,53.55073,6.05,61.21666667
DEU-DEHAM_NOR-NOHOY,9.99302,53.55073,10.45,59.23333333
DEU-DEHAM_SYR-SYTTS,9.99302,53.55073,35.9,34.9
DEU-DEHAM_THA-THBKK,9.99302,53.55073,100.5166667,13.75
DEU-DEHAM_THA-THLCH,9.99302,53.55073,100.8833333,13.08333333
DEU-DEHAM_THA-THHKT,9.99302,53.55073,98.31666667,8.116666667
DEU-DEHAM_SYR-SYLTK,9.99302,53.55073,35.78333333,35.51666667
DEU-DEHAM_TUR-TRIZT,9.99302,53.55073,29.95,40.78333333
DEU-DEHAM_TUR-TRKMX,9.99302,53.55073,28.81666667,40.95
DEU-DEHAM_TUR-TRLMA,9.99302,53.55073,26.91666667,38.75
DEU-DEHAM_TUR-TRMAD,9.99302,53.55073,28.95,41.01666667
DEU-DEHAM_TUR-TRGEB,9.99302,53.55073,29.41666667,40.78333333
DEU-DEHAM_TUR-TRGEM,9.99302,53.55073,29.15,40.41666667
DEU-DEHAM_TUR-TRISK,9.99302,53.55073,36.16666667,36.58333333
DEU-DEHAM_TUR-TRIZM,9.99302,53.55073,27.15,38.41666667
DEU-DEHAM_TUR-TRAYT,9.99302,53.55073,30.6,36.83333333
DEU-DEHAM_TUR-TRBDM,9.99302,53.55073,27.96666667,40.35
DEU-DEHAM_TUR-TRELI,9.99302,53.55073,34.05,37.5
DEU-DEHAM_TUR-TREYP,9.99302,53.55073,29.7,40.76666667
DEU-DEHAM_THA-THSCS,9.99302,53.55073,100.5333333,13.65
DEU-DEHAM_TON-TOTBU,9.99302,53.55073,-175.2,-21.13333333
DEU-DEHAM_TUR-TRPAM,9.99302,53.55073,39.16666667,41.03333333
DEU-DEHAM_PRY-PYASU,9.99302,53.55073,-57.66666667,-25.26666667
DEU-DEHAM_SAU-SAYNB,9.99302,53.55073,38.03333333,24.08333333
DEU-DEHAM_RUS-RUZAR,9.99302,53.55073,131.0833333,42.61666667
DEU-DEHAM_SAU-SADMM,9.99302,53.55073,50.1,26.41666667
DEU-DEHAM_SAU-SAJED,9.99302,53.55073,39.16666667,21.53333333
DEU-DEHAM_SAU-SAKAC,9.99302,53.55073,39.08333333,22.4
DEU-DEHAM_RUS-RUNVS,9.99302,53.55073,37.76666667,44.71666667
DEU-DEHAM_RUS-RULED,9.99302,53.55073,30.25,59.88333333
DEU-DEHAM_RUS-RUULU,9.99302,53.55073,28.31666667,59.66666667
DEU-DEHAM_RUS-RUVYP,9.99302,53.55073,133.05,42.76666667
DEU-DEHAM_QAT-QAHMD,9.99302,53.55073,51.61666667,25
DEU-DEHAM_QAT-QAMES,9.99302,53.55073,51.91666667,25.63333333
DEU-DEHAM_RUS-RUBRK,9.99302,53.55073,29.73333333,59.9
DEU-DEHAM_ZAF-ZADUR,9.99302,53.55073,31.01666667,-29.85
DEU-DEHAM_ARE-AEAJM,9.99302,53.55073,55.47878,25.40177
DEU-DEHAM_ARE-AEJEA,9.99302,53.55073,55.10811,25.00255
DEU-DEHAM_AIA-AIAXA,9.99302,53.55073,-63.09375,18.17648
DEU-DEHAM_MYT-YTLON,9.99302,53.55073,45.16666667,-12.71666667
DEU-DEHAM_ZAF-ZACPT,9.99302,53.55073,18.41666667,-33.91666667
DEU-DEHAM_ZAF-ZAZBA,9.99302,53.55073,25.66666667,-33.76666667
DEU-DEHAM_VNM-VNSGN,9.99302,53.55073,106.6666667,10.76666667
DEU-DEHAM_VNM-VNNGH,9.99302,53.55073,105.8333333,19.33333333
DEU-DEHAM_VNM-VNUIH,9.99302,53.55073,109.2166667,13.76666667
DEU-DEHAM_VNM-VNVUT,9.99302,53.55073,107.0666667,10.35
DEU-DEHAM_VEN-VEPLA,9.99302,53.55073,-62.66666667,8.35
DEU-DEHAM_VNM-VNC8Q,9.99302,53.55073,108.7,15.4
DEU-DEHAM_VNM-VNDAD,9.99302,53.55073,108.2166667,16.06666667
DEU-DEHAM_AUS-AUDPO,9.99302,53.55073,146.35152,-41.17695
DEU-DEHAM_AUS-AUFRE,9.99302,53.55073,115.74557,-32.05632
DEU-DEHAM_AUS-AUGEX,9.99302,53.55073,144.36069,-38.14711
DEU-DEHAM_AUS-AUNTL,9.99302,53.55073,151.7801,-32.92953
DEU-DEHAM_AUS-AUBEL,9.99302,53.55073,146.87,-41.13
DEU-DEHAM_AUS-AUBWT,9.99302,53.55073,145.90375,-41.05584
DEU-DEHAM_AUS-AUCNS,9.99302,53.55073,145.76613,-16.92366
DEU-DEHAM_AUS-AUDAM,9.99302,53.55073,116.71256,-20.66275
DEU-DEHAM_AGO-AOLAD,9.99302,53.55073,13.23432,-8.83682
DEU-DEHAM_AGO-AOMAL,9.99302,53.55073,12.1980218,-5.396406482
DEU-DEHAM_AGO-AOMSZ,9.99302,53.55073,12.15222,-15.19611
