Sensitivity,Country,Id_cell,System,Electrolyser,Year,Optimization,PV,Onshore,Lcoh,H2_volume,Unit
Default,NOR,NOR_C02631,Hybrid,Alkaline,2050,Lcoh,1.4476452234977362,1.3691218211217275,2.9244981943159916,98020.64992579372,7436351.149845089
Default,NOR,NOR_C02632,Hybrid,Alkaline,2050,Lcoh,1.6428771787160965,1.4065440870939114,3.1014984135127848,96347.6887664365,245958160.8987432
Default,NOR,NOR_C02633,Hybrid,Alkaline,2050,Lcoh,1.2443952449129243,1.4828104822537649,2.7594984647218417,106882.77195781088,346805129.49871314
Default,NOR,NOR_C02634,PV,Alkaline,2050,Lcoh,2.531347926947724,0.0,3.2223903940378564,42997.199132467096,134160450.34699328
Default,NOR,NOR_C02635,Hybrid,Alkaline,2050,Lcoh,1.7884189909222896,1.3667982984595664,3.309498909445563,90211.24864200992,87304519.01188649
Default,NOR,NOR_C02636,Hybrid,Alkaline,2050,Lcoh,1.6164711794070021,1.4427553899959356,3.119498392781333,97065.33673353572,237931262.60829648
Default,NOR,NOR_C02637,Hybrid,Alkaline,2050,Lcoh,2.2529556205639785,0.7534491144357144,3.5844992315872215,64575.915981718164,245093885.14858413
Default,NOR,NOR_C02638,PV,Alkaline,2050,Lcoh,2.49155333289827,0.0,3.5902623461068703,38149.17090153553,37449778.36783213
Default,NOR,NOR_C02639,Hybrid,Alkaline,2050,Lcoh,2.0170302177057837,1.1337447191128769,3.5894995564919703,76569.88850936228,298937993.2051035
Default,NOR,NOR_C02640,Onshore,Alkaline,2050,Lcoh,0.0,1.7538515783468889,2.7439368903309607,104170.02384287564,561628571.1206032
Default,NOR,NOR_C02641,Hybrid,Alkaline,2050,Lcoh,1.770176813525191,1.3722357473923612,3.4904985061104883,85512.06327907475,483325.0880447571
Default,NOR,NOR_C02642,Onshore,Alkaline,2050,Lcoh,0.0,1.7005377078982695,2.632935361502432,105830.52614072931,389057081.0522552
Default,NOR,NOR_C02643,Onshore,Alkaline,2050,Lcoh,0.0,1.7351837179246057,2.6572065719631723,106642.21586967874,71635453.24328059
Default,NPL,NPL_C02862,PV,Alkaline,2050,Lcoh,1.6957874319138633,0.0,1.92496912564073,63053.362388907226,72200265.10531397
Default,NPL,NPL_C02863,PV,Alkaline,2050,Lcoh,1.7427153608384238,0.0,1.9650419049138588,62728.88785609856,256004800.06106842
Default,NPL,NPL_C02864,PV,Alkaline,2050,Lcoh,1.6389448011847843,0.0,1.8268188414610007,65215.29411158447,324325693.93907136
Default,NPL,NPL_C02865,PV,Alkaline,2050,Lcoh,1.7278670708271369,0.0,1.933677473868248,63446.04298726452,1737210922.3555155
Default,NPL,NPL_C02866,PV,Alkaline,2050,Lcoh,1.7872602308722843,0.0,1.9444214157395092,64343.73465640668,1397195107.276482
Default,NPL,NPL_C02867,PV,Alkaline,2050,Lcoh,1.979887429866444,0.0,2.213191714199792,59995.772173134435,26309509.94174531
Default,NPL,NPL_C02868,PV,Alkaline,2050,Lcoh,1.8488531375857695,0.0,2.028842482614389,62874.22404120595,414609615.5462416
Default,NPL,NPL_C02869,PV,Alkaline,2050,Lcoh,1.9336927498313292,0.0,2.1451562490542133,61041.078537234425,64764326.44398045
Default,NRU,NRU_C03278,PV,Alkaline,2050,Lcoh,1.979887429866444,0.0,1.9948108514022291,61785.50799520749,703186.8596214325
Default,NZL,NZL_C01887,Onshore,Alkaline,2050,Lcoh,0.0,1.3668279911013947,2.03681976090468,112090.852198915,22618081.30414502
Default,NZL,NZL_C01888,Hybrid,Alkaline,2050,Lcoh,2.137898222608296,0.7737087235095159,3.0504979840738065,73792.12163565628,94730169.97232254
Default,NZL,NZL_C01889,Hybrid,Alkaline,2050,Lcoh,1.0452256218889042,1.4099528200687603,2.759498453280623,98330.69464644976,229062593.3888732
Default,NZL,NZL_C01890,Onshore,Alkaline,2050,Lcoh,0.0,1.2674611090034835,1.5464329875978042,139591.35165513612,23738183.36518795
Default,NZL,NZL_C01891,PV,Alkaline,2050,Lcoh,2.7857513448777307,0.0,3.0479202190488484,47404.22769518797,873583996.8668331
Default,NZL,NZL_C01892,Hybrid,Alkaline,2050,Lcoh,1.0754110211669217,1.4641056377611437,2.7674982927331286,101066.69801963943,498147304.3974068
Default,NZL,NZL_C01893,Onshore,Alkaline,2050,Lcoh,0.0,1.2565967718052842,1.4649343843645803,146502.5724073646,6587549.550654403
Default,NZL,NZL_C01894,Hybrid,Alkaline,2050,Lcoh,1.6482677616521781,1.0216950124974669,2.389498812347907,101023.71597005002,137521747.33120707
Default,NZL,NZL_C01895,Hybrid,Alkaline,2050,Lcoh,1.0904318166476046,1.2385372086450706,2.417497043267461,103556.30894871293,12293315.447363673
Default,NZL,NZL_C01896,PV,Alkaline,2050,Lcoh,2.6134718025657047,0.0,2.8731488313154334,48151.93984876665,590271306.7668903
Default,NZL,NZL_C01897,PV,Alkaline,2050,Lcoh,2.6707200610923745,0.0,2.9974596268989533,46825.323577535906,621232829.8164767
Default,NZL,NZL_C01898,Hybrid,Alkaline,2050,Lcoh,1.5861998516304614,1.0214660624709144,2.4024993532656653,99521.63769219056,117995475.36395831
Default,NZL,NZL_C01899,Hybrid,Alkaline,2050,Lcoh,1.8077307212319376,0.9428099933809874,2.6024990112017514,90796.23910828476,940030671.7500186
Default,NZL,NZL_C01900,Hybrid,Alkaline,2050,Lcoh,1.635154318692435,1.1651535748838344,2.65649908176586,97831.06377836893,636881588.6678736
Default,NZL,NZL_C01901,Hybrid,Alkaline,2050,Lcoh,2.2279299740391374,0.4485584944312433,2.690499389783647,68747.2541989319,306223942.626838
Default,NZL,NZL_C01902,PV,Alkaline,2050,Lcoh,2.5207772204846104,0.0,2.7704849362222146,48746.41994672389,1984381.3391207696
Default,NZL,NZL_C01903,Onshore,Alkaline,2050,Lcoh,0.0,1.3668279911013947,1.6802485694692093,136276.70223742814,2928718.4292211886
Default,OMN,OMN_C02870,PV,Alkaline,2050,Lcoh,1.7278670708271369,0.0,1.8190864125756576,64898.033275728536,1029729750.0059893
Default,OMN,OMN_C02871,PV,Alkaline,2050,Lcoh,1.7172963643640238,0.0,1.8134955714258525,64870.17779446178,340425697.406521
Default,OMN,OMN_C02872,PV,Alkaline,2050,Lcoh,1.7890475250403093,0.0,1.8948381780862409,63543.961649077726,461269030.67976034
