Sensitivity,Country,Id_cell,System,Electrolyser,Year,Optimization,PV,Onshore,Lcoh,H2_volume,Unit
Default,TCA,TCA_C01584,Hybrid,Alkaline,2050,Lcoh,1.194045523328828,0.8356726658930819,2.50949953074406,98877.42020413678,6989411.503653069
Default,LCA,LCA_C01569,Hybrid,Alkaline,2050,Lcoh,0.7596301994462867,1.1996642914181126,2.2674978338443115,122957.76502736918,16417280.746212758
Default,MAF,MAF_C01570,Hybrid,Alkaline,2050,Lcoh,1.4230406478446609,0.36411802528929016,2.4984989991136537,75667.64613944777,1546834.1997720862
Default,SPM,SPM_C01571,Hybrid,Alkaline,2050,Lcoh,0.0,1.0634750536165063,1.8194926110843679,117458.97295597316,12064088.022227235
Default,VCT,VCT_C01572,Hybrid,Alkaline,2050,Lcoh,0.759656274921541,1.1996642914181126,2.267498203435315,122958.41687853287,8844563.199335404
Default,SXM,SXM_C01573,Hybrid,Alkaline,2050,Lcoh,1.4230406478446609,0.36411802528929016,2.4984989991136537,75667.64613944777,1220386.8851905218
Default,VIR,VIR_C01585,Hybrid,Alkaline,2050,Lcoh,1.4230406478446609,0.36411802528929016,2.4984989991136537,75667.64613944777,8604083.133907977
Default,SLE,SLE_C01729,Hybrid,Alkaline,2050,Lcoh,1.961354432652494,0.0,3.5084990234757054,54006.692883047726,376625359.19468635
Default,SLE,SLE_C01730,Hybrid,Alkaline,2050,Lcoh,1.7317902865924686,0.0,2.9724966467009226,58581.25005719477,601209791.1267158
Default,SLE,SLE_C01731,Hybrid,Alkaline,2050,Lcoh,1.9449760203872692,0.0,3.442497824790675,54725.14822018219,629041565.0715002
Default,SLE,SLE_C01728,Hybrid,Alkaline,2050,Lcoh,1.822978329256536,0.0,3.259497429407378,55289.238276407246,390522824.3049164
Default,MRT,MRT_C01676,Hybrid,Alkaline,2050,Lcoh,0.4735215579727914,1.2173190253426847,2.1524958556774907,138102.36740285065,450798049.1678362
Default,MRT,MRT_C01677,Hybrid,Alkaline,2050,Lcoh,0.9681582067993332,1.0400560274774717,2.4934990931318928,120026.77619932589,1067797643.275164
Default,MRT,MRT_C01678,Hybrid,Alkaline,2050,Lcoh,1.6074990632821031,0.0,2.719499530770361,59830.45720070703,539563540.5735012
Default,MRT,MRT_C01679,Hybrid,Alkaline,2050,Lcoh,1.3002249974428963,0.483066476750044,2.4854987515682296,90723.86186485244,328136.58943395433
Default,MRT,MRT_C01680,Hybrid,Alkaline,2050,Lcoh,1.2296629980248672,0.8283953867642692,2.484499135928101,112774.35012760275,1184578252.0895677
Default,MRT,MRT_C01689,Hybrid,Alkaline,2050,Lcoh,1.5623091005250729,0.0,2.545498031210899,62763.61044573487,3108055334.185318
Default,MRT,MRT_C01690,Hybrid,Alkaline,2050,Lcoh,1.5528665640339614,0.0,2.5444972368230205,62543.2419727383,3452961061.4634857
Default,MRT,MRT_C01691,Hybrid,Alkaline,2050,Lcoh,1.622909470490809,0.0,2.696498591909452,60720.16197386531,2372583811.7388625
Default,MRT,MRT_C01692,Hybrid,Alkaline,2050,Lcoh,0.9743939138154556,1.152574888497626,2.476498963424699,128829.83164234759,117073464.83096038
Default,MRT,MRT_C01693,Hybrid,Alkaline,2050,Lcoh,1.562985655082148,0.0,2.5584986754651453,62460.903283332016,131023449.66695873
Default,MRT,MRT_C01694,Hybrid,Alkaline,2050,Lcoh,1.6288904698616506,0.0,2.6924987731003642,60957.41491122524,354895577.76464987
Default,MRT,MRT_C01681,Hybrid,Alkaline,2050,Lcoh,1.5893977367109,0.0022268557724440035,2.614495674743022,61931.64682923326,3374994394.741285
Default,MRT,MRT_C01682,Hybrid,Alkaline,2050,Lcoh,1.6622273229183657,0.0,2.74749917986337,60534.01582505573,1936170668.241199
Default,MRT,MRT_C01683,Hybrid,Alkaline,2050,Lcoh,1.3658781621417333,0.49628491095530575,2.524499022600376,91934.71582406151,2185368806.0495667
Default,MRT,MRT_C01684,Hybrid,Alkaline,2050,Lcoh,1.5441812289054047,0.0,2.55049852050947,62170.539054894456,3412463571.40242
Default,MRT,MRT_C01685,Hybrid,Alkaline,2050,Lcoh,1.5399072911628335,0.0,2.5374990160468207,62379.026975939865,3488440129.809497
Default,MRT,MRT_C01686,Hybrid,Alkaline,2050,Lcoh,1.6361683114982255,0.0,2.732499324620667,60237.69591720829,2475776970.1657486
Default,MRT,MRT_C01687,Hybrid,Alkaline,2050,Lcoh,1.5139690522417664,0.0,2.491497665472234,62847.5884981904,145391022.05840513
Default,MRT,MRT_C01688,Hybrid,Alkaline,2050,Lcoh,1.5491743585421263,0.0,2.5514979589160536,62275.36768387011,2753384418.6018496
Default,MAR,MAR_C01695,Hybrid,Alkaline,2050,Lcoh,0.6579931034315825,1.1204431916946826,2.0524976243970867,128752.47434349793,163679808.00841874
Default,MAR,MAR_C01696,Hybrid,Alkaline,2050,Lcoh,0.4915269136570557,1.199496226831513,1.943498048003886,137268.4441193964,1185206696.32405
Default,MAR,MAR_C01705,Hybrid,Alkaline,2050,Lcoh,1.4437844793854806,0.0,2.193498289783229,62136.82297725568,3342516884.6785007
Default,MAR,MAR_C01706,Hybrid,Alkaline,2050,Lcoh,1.5087627503428227,0.0,2.2344984511713224,62714.88136692251,623271652.2221164
Default,MAR,MAR_C01707,Hybrid,Alkaline,2050,Lcoh,1.549459609981382,0.0,2.288497220089818,62282.340974522376,75987400.4382343
Default,MAR,MAR_C01708,Hybrid,Alkaline,2050,Lcoh,1.6002115986880951,0.0,2.487499393928307,58488.14567805778,42727032.35837462
Default,MAR,MAR_C01709,Hybrid,Alkaline,2050,Lcoh,1.5082112247572148,0.0,2.3394979534388307,59874.11065033819,2845599086.7083673
Default,MAR,MAR_C01710,Hybrid,Alkaline,2050,Lcoh,1.5069188762729795,0.0,2.218495416350112,63120.06480642503,2033304339.879368
Default,MAR,MAR_C01711,Hybrid,Alkaline,2050,Lcoh,1.4838989729999177,0.0,2.2944980055558695,60425.64841093484,1160969438.2526011
Default,MAR,MAR_C01712,Hybrid,Alkaline,2050,Lcoh,1.50114645454355,0.0,2.230498103472115,62625.506954064964,334294377.3551946
Default,MAR,MAR_C01697,Hybrid,Alkaline,2050,Lcoh,0.7614341305187006,1.0351971609148258,2.1714984777786484,118374.74331391658,560514236.6687202
Default,MAR,MAR_C01698,Hybrid,Alkaline,2050,Lcoh,1.3299022839144239,0.4103889824066686,2.235498817558258,86526.27578597039,2683763081.68379
Default,MAR,MAR_C01699,Hybrid,Alkaline,2050,Lcoh,1.2819113584534005,0.6787764789484693,2.237499656746413,103852.23987606751,1424280595.4737623
Default,MAR,MAR_C01700,Hybrid,Alkaline,2050,Lcoh,0.7254096331988727,1.0524731058488934,2.228497296467335,115582.35283563439,4405848.357175361
Default,MAR,MAR_C01701,Hybrid,Alkaline,2050,Lcoh,0.39945864116941,1.047397034757111,1.9964977332170644,119004.57625076165,717502163.9269273
Default,MAR,MAR_C01702,Hybrid,Alkaline,2050,Lcoh,1.4983835364006817,0.0,2.2594990007129274,61745.66695065929,2707424112.1961203
Default,MAR,MAR_C01703,Hybrid,Alkaline,2050,Lcoh,1.4107792206210763,0.39010619668047103,2.2704980566398074,85906.69957775583,586929039.6768014
Default,MAR,MAR_C01704,Hybrid,Alkaline,2050,Lcoh,1.5086564112953016,0.0,2.3634987509892147,59274.67891981594,1254344539.1891496
Default,PRT,PRT_C01721,Hybrid,Alkaline,2050,Lcoh,1.6174485178434501,0.0,2.562497967442425,56380.43997675219,1752393720.0676272
Default,PRT,PRT_C01722,Hybrid,Alkaline,2050,Lcoh,1.5176963604635076,0.0,2.3434970222666767,59184.37826394932,770994771.3170934
Default,PRT,PRT_C01713,Hybrid,Alkaline,2050,Lcoh,0.09798667458880965,1.0729595416236068,2.1314977528093215,103573.89293774546,8679806.17404348
Default,PRT,PRT_C01714,Hybrid,Alkaline,2050,Lcoh,0.4671844058632961,1.0305778760206965,2.273497463370369,103701.2123547438,20949226.155491333
Default,PRT,PRT_C01715,Hybrid,Alkaline,2050,Lcoh,1.3359828161944858,0.5997841422277043,2.606499669206976,84475.48319132038,21068837.240743995
Default,PRT,PRT_C01716,Hybrid,Alkaline,2050,Lcoh,1.5406993670212779,0.16565112586976927,2.623498934179293,63057.57412144117,28340096.96277188
Default,PRT,PRT_C01717,Hybrid,Alkaline,2050,Lcoh,1.2833051790402341,0.5839629076582497,2.492499354230333,86144.48700705914,21101156.221651517
Default,PRT,PRT_C01718,Hybrid,Alkaline,2050,Lcoh,0.5841216487140082,1.0417135132458393,2.125498710755057,114978.22771514977,97918333.29739246
Default,PRT,PRT_C01719,Hybrid,Alkaline,2050,Lcoh,0.6263087523839563,1.0825766377221884,2.1104960456459048,119945.90672736162,10455667.265510768
Default,PRT,PRT_C01720,Hybrid,Alkaline,2050,Lcoh,1.660516012576364,0.0,2.9014984799423162,50637.05719738181,214180320.49250638
Default,SEN,SEN_C01723,Hybrid,Alkaline,2050,Lcoh,1.6257193965104206,0.0,2.6134967488679153,60255.59965658028,1248568402.6913292
Default,SEN,SEN_C01724,Hybrid,Alkaline,2050,Lcoh,1.6946958979575608,0.0,2.8364990388095705,57044.04956732486,1139861703.9005208
Default,SEN,SEN_C01725,Hybrid,Alkaline,2050,Lcoh,1.6567223084980314,0.0,2.6394987604168074,60404.97694589464,1342781613.2992272
Default,SEN,SEN_C01726,Hybrid,Alkaline,2050,Lcoh,1.734699564361482,0.0,2.8334976944417654,58000.189930624896,2027451709.8399343
Default,SEN,SEN_C01727,Hybrid,Alkaline,2050,Lcoh,1.7017667077436318,0.0,2.7874981651716206,58211.33107681265,201882231.98709062
Default,CAN,CAN_C00329,Hybrid,Alkaline,2050,Lcoh,0.0,1.1788135860193654,2.2854956705924456,99705.72270787942,2724453808.968308
Default,CAN,CAN_C00330,Hybrid,Alkaline,2050,Lcoh,0.503931581996564,1.1675037035369595,2.5364981711700167,100548.88619026695,2073998101.2498722
Default,CAN,CAN_C00331,Hybrid,Alkaline,2050,Lcoh,1.17018827071757,1.0274131093337053,3.0814985781700788,88249.40292387106,1608180380.0911665
Default,CAN,CAN_C00332,Hybrid,Alkaline,2050,Lcoh,1.1716974859804068,0.9916478470879531,2.948498778757749,90436.47704948201,904173343.3416064
Default,CAN,CAN_C00333,Hybrid,Alkaline,2050,Lcoh,1.7483318382658761,0.0,4.2784994831031495,34939.19385918877,287383371.13535297
Default,CAN,CAN_C00334,Hybrid,Alkaline,2050,Lcoh,1.748305762790622,0.0,4.2784992021802,34938.84626912014,151593.390684791
Default,CAN,CAN_C00335,Hybrid,Alkaline,2050,Lcoh,1.4486865657817807,1.0802232186240932,3.9414983142981934,75029.44340426088,189522547.03791854
Default,CAN,CAN_C00336,Hybrid,Alkaline,2050,Lcoh,1.3805155766210253,1.0307683325972425,3.6124961557619226,78726.23266316863,715779399.8878633
Default,CAN,CAN_C00321,Hybrid,Alkaline,2050,Lcoh,1.500882071372472,0.38262066103684983,3.0244993461989482,63924.833791948746,1819823847.8673027
Default,CAN,CAN_C00322,Hybrid,Alkaline,2050,Lcoh,0.648139678991586,1.0946698388944245,3.407497881825108,73967.91436419424,371935403.3294255
Default,CAN,CAN_C00323,Hybrid,Alkaline,2050,Lcoh,0.648139678991586,1.0946698388944245,3.407497881825108,73967.91436419424,88318651.62311268
Default,CAN,CAN_C00324,Hybrid,Alkaline,2050,Lcoh,1.7304197071565834,0.0,3.9574982656000226,37520.47064607881,860726493.5787803
Default,CAN,CAN_C00325,Hybrid,Alkaline,2050,Lcoh,1.0348080734922398,1.1598824955960625,3.2954977155004244,86225.33029543293,1006527986.30223
Default,CAN,CAN_C00326,Hybrid,Alkaline,2050,Lcoh,1.0510670927960002,1.1455265248427364,3.179496946123632,88991.44185528622,1015004098.857802
Default,CAN,CAN_C00327,Hybrid,Alkaline,2050,Lcoh,0.0,1.1579434623645757,2.515495647192209,89295.98261356428,985937861.8824687
Default,CAN,CAN_C00328,Hybrid,Alkaline,2050,Lcoh,0.0,1.1821288018840594,2.420497518191526,94329.1563878276,2388001314.18428
Default,CAN,CAN_C00345,Hybrid,Alkaline,2050,Lcoh,0.0009934144927911432,1.1286409385086835,2.3714981260398655,92892.69449669427,256717491.46044755
